DateTime,rad
2014-06-15T01:00:00Z,0
2014-06-15T02:00:00Z,0
2014-06-15T03:00:00Z,0
2014-06-15T04:00:00Z,0
2014-06-15T05:00:00Z,71
2014-06-15T06:00:00Z,258
2014-06-15T07:00:00Z,618
2014-06-15T08:00:00Z,578
2014-06-15T09:00:00Z,813
2014-06-15T10:00:00Z,841
2014-06-15T11:00:00Z,787
2014-06-15T12:00:00Z,468
2014-06-15T13:00:00Z,539
2014-06-15T14:00:00Z,538
2014-06-15T15:00:00Z,558
2014-06-15T16:00:00Z,536
2014-06-15T17:00:00Z,355
2014-06-15T18:00:00Z,198
2014-06-15T19:00:00Z,2
2014-06-15T20:00:00Z,0
2014-06-15T21:00:00Z,0
2014-06-15T22:00:00Z,0
2014-06-15T23:00:00Z,0
2014-06-16T00:00:00Z,0
2014-06-16T01:00:00Z,0
2014-06-16T02:00:00Z,NA
2014-06-16T03:00:00Z,0
2014-06-16T04:00:00Z,0
2014-06-16T05:00:00Z,NA
2014-06-16T06:00:00Z,160
2014-06-16T07:00:00Z,174
2014-06-16T08:00:00Z,514
2014-06-16T09:00:00Z,518
2014-06-16T10:00:00Z,736
2014-06-16T11:00:00Z,491
2014-06-16T12:00:00Z,158
2014-06-16T13:00:00Z,133
2014-06-16T14:00:00Z,109
2014-06-16T15:00:00Z,68
2014-06-16T16:00:00Z,76
2014-06-16T17:00:00Z,109
2014-06-16T18:00:00Z,74
2014-06-16T19:00:00Z,3
2014-06-16T20:00:00Z,0
2014-06-16T21:00:00Z,0
2014-06-16T22:00:00Z,0
2014-06-16T23:00:00Z,0
2014-06-17T00:00:00Z,0
2014-06-17T01:00:00Z,0
2014-06-17T02:00:00Z,0
2014-06-17T03:00:00Z,0
2014-06-17T04:00:00Z,0
2014-06-17T05:00:00Z,47
2014-06-17T06:00:00Z,299
2014-06-17T07:00:00Z,496
2014-06-17T08:00:00Z,NA
2014-06-17T09:00:00Z,312
2014-06-17T10:00:00Z,123
2014-06-17T11:00:00Z,206
2014-06-17T12:00:00Z,111
2014-06-17T13:00:00Z,65
2014-06-17T14:00:00Z,85
2014-06-17T15:00:00Z,274
2014-06-17T16:00:00Z,666
2014-06-17T17:00:00Z,370
2014-06-17T18:00:00Z,159
2014-06-17T19:00:00Z,NA
2014-06-17T20:00:00Z,0
2014-06-17T21:00:00Z,0
2014-06-17T22:00:00Z,0
2014-06-17T23:00:00Z,0
2014-06-18T00:00:00Z,0
2014-06-18T01:00:00Z,0
2014-06-18T02:00:00Z,0
2014-06-18T03:00:00Z,0
2014-06-18T04:00:00Z,1
2014-06-18T05:00:00Z,23
2014-06-18T06:00:00Z,314
2014-06-18T07:00:00Z,528
2014-06-18T08:00:00Z,736
2014-06-18T09:00:00Z,663
2014-06-18T10:00:00Z,1094
2014-06-18T11:00:00Z,1090
2014-06-18T12:00:00Z,1098
2014-06-18T13:00:00Z,1046
2014-06-18T14:00:00Z,935
2014-06-18T15:00:00Z,NA
2014-06-18T16:00:00Z,581
2014-06-18T17:00:00Z,364
2014-06-18T18:00:00Z,160
2014-06-18T19:00:00Z,8
2014-06-18T20:00:00Z,0
2014-06-18T21:00:00Z,0
2014-06-18T22:00:00Z,0
2014-06-18T23:00:00Z,0
2014-06-19T00:00:00Z,0
2014-06-19T01:00:00Z,0
2014-06-19T02:00:00Z,0
2014-06-19T03:00:00Z,0
2014-06-19T04:00:00Z,1
2014-06-19T05:00:00Z,22
2014-06-19T06:00:00Z,311
2014-06-19T07:00:00Z,524
2014-06-19T08:00:00Z,725
2014-06-19T09:00:00Z,893
2014-06-19T10:00:00Z,1015
2014-06-19T11:00:00Z,1058
2014-06-19T12:00:00Z,1093
2014-06-19T13:00:00Z,1042
2014-06-19T14:00:00Z,NA
2014-06-19T15:00:00Z,774
2014-06-19T16:00:00Z,579
2014-06-19T17:00:00Z,365
2014-06-19T18:00:00Z,NA
2014-06-19T19:00:00Z,8
2014-06-19T20:00:00Z,0
2014-06-19T21:00:00Z,0
2014-06-19T22:00:00Z,0
2014-06-19T23:00:00Z,0
2014-06-20T00:00:00Z,0
2014-06-20T01:00:00Z,0
2014-06-20T02:00:00Z,0
2014-06-20T03:00:00Z,0
2014-06-20T04:00:00Z,1
2014-06-20T05:00:00Z,24
2014-06-20T06:00:00Z,356
2014-06-20T07:00:00Z,NA
2014-06-20T08:00:00Z,312
2014-06-20T09:00:00Z,825
2014-06-20T10:00:00Z,1034
2014-06-20T11:00:00Z,NA
2014-06-20T12:00:00Z,1094
2014-06-20T13:00:00Z,1123
2014-06-20T14:00:00Z,667
2014-06-20T15:00:00Z,561
2014-06-20T16:00:00Z,502
2014-06-20T17:00:00Z,NA
2014-06-20T18:00:00Z,50
2014-06-20T19:00:00Z,9
2014-06-20T20:00:00Z,0
2014-06-20T21:00:00Z,0
2014-06-20T22:00:00Z,0
2014-06-20T23:00:00Z,0
2014-06-21T00:00:00Z,NA
2014-06-21T01:00:00Z,0
2014-06-21T02:00:00Z,0
2014-06-21T03:00:00Z,0
2014-06-21T04:00:00Z,0
2014-06-21T05:00:00Z,38
2014-06-21T06:00:00Z,NA
2014-06-21T07:00:00Z,262
2014-06-21T08:00:00Z,463
2014-06-21T09:00:00Z,NA
2014-06-21T10:00:00Z,916
2014-06-21T11:00:00Z,1076
2014-06-21T12:00:00Z,NA
2014-06-21T13:00:00Z,1008
2014-06-21T14:00:00Z,993
2014-06-21T15:00:00Z,542
2014-06-21T16:00:00Z,627
2014-06-21T17:00:00Z,278
2014-06-21T18:00:00Z,82
2014-06-21T19:00:00Z,8
2014-06-21T20:00:00Z,0
2014-06-21T21:00:00Z,0
2014-06-21T22:00:00Z,0
2014-06-21T23:00:00Z,0
2014-06-22T00:00:00Z,0
2014-06-22T01:00:00Z,0
2014-06-22T02:00:00Z,0
2014-06-22T03:00:00Z,0
2014-06-22T04:00:00Z,0
2014-06-22T05:00:00Z,34
2014-06-22T06:00:00Z,316
2014-06-22T07:00:00Z,509
2014-06-22T08:00:00Z,707
2014-06-22T09:00:00Z,885
2014-06-22T10:00:00Z,NA
2014-06-22T11:00:00Z,704
2014-06-22T12:00:00Z,556
2014-06-22T13:00:00Z,812
2014-06-22T14:00:00Z,479
2014-06-22T15:00:00Z,229
2014-06-22T16:00:00Z,582
2014-06-22T17:00:00Z,267
2014-06-22T18:00:00Z,73
2014-06-22T19:00:00Z,NA
2014-06-22T20:00:00Z,0
2014-06-22T21:00:00Z,0
2014-06-22T22:00:00Z,NA
2014-06-22T23:00:00Z,0
2014-06-23T00:00:00Z,0
2014-06-23T01:00:00Z,0
2014-06-23T02:00:00Z,0
2014-06-23T03:00:00Z,0
2014-06-23T04:00:00Z,0
2014-06-23T05:00:00Z,33
2014-06-23T06:00:00Z,NA
2014-06-23T07:00:00Z,512
2014-06-23T08:00:00Z,712
2014-06-23T09:00:00Z,882
2014-06-23T10:00:00Z,1005
2014-06-23T11:00:00Z,1076
2014-06-23T12:00:00Z,1108
2014-06-23T13:00:00Z,1121
2014-06-23T14:00:00Z,785
2014-06-23T15:00:00Z,987
2014-06-23T16:00:00Z,276
2014-06-23T17:00:00Z,131
2014-06-23T18:00:00Z,217
2014-06-23T19:00:00Z,8
2014-06-23T20:00:00Z,NA
2014-06-23T21:00:00Z,0
2014-06-23T22:00:00Z,0
2014-06-23T23:00:00Z,0
2014-06-24T00:00:00Z,0
2014-06-24T01:00:00Z,0
2014-06-24T02:00:00Z,0
2014-06-24T03:00:00Z,0
2014-06-24T04:00:00Z,0
2014-06-24T05:00:00Z,24
2014-06-24T06:00:00Z,296
2014-06-24T07:00:00Z,513
2014-06-24T08:00:00Z,731
2014-06-24T09:00:00Z,881
2014-06-24T10:00:00Z,974
2014-06-24T11:00:00Z,1070
2014-06-24T12:00:00Z,1092
2014-06-24T13:00:00Z,1037
2014-06-24T14:00:00Z,934
2014-06-24T15:00:00Z,NA
2014-06-24T16:00:00Z,323
2014-06-24T17:00:00Z,170
2014-06-24T18:00:00Z,39
2014-06-24T19:00:00Z,10
2014-06-24T20:00:00Z,0
2014-06-24T21:00:00Z,0
2014-06-24T22:00:00Z,0
2014-06-24T23:00:00Z,0
2014-06-25T00:00:00Z,0
2014-06-25T01:00:00Z,0
2014-06-25T02:00:00Z,0
2014-06-25T03:00:00Z,0
2014-06-25T04:00:00Z,0
2014-06-25T05:00:00Z,24
2014-06-25T06:00:00Z,297
2014-06-25T07:00:00Z,510
2014-06-25T08:00:00Z,710
2014-06-25T09:00:00Z,918
2014-06-25T10:00:00Z,1008
2014-06-25T11:00:00Z,1063
2014-06-25T12:00:00Z,NA
2014-06-25T13:00:00Z,1079
2014-06-25T14:00:00Z,804
2014-06-25T15:00:00Z,776
2014-06-25T16:00:00Z,572
2014-06-25T17:00:00Z,351
2014-06-25T18:00:00Z,157
2014-06-25T19:00:00Z,6
2014-06-25T20:00:00Z,0
2014-06-25T21:00:00Z,0
2014-06-25T22:00:00Z,0
2014-06-25T23:00:00Z,0
2014-06-26T00:00:00Z,0
2014-06-26T01:00:00Z,0
2014-06-26T02:00:00Z,0
2014-06-26T03:00:00Z,0
2014-06-26T04:00:00Z,0
2014-06-26T05:00:00Z,25
2014-06-26T06:00:00Z,144
2014-06-26T07:00:00Z,150
2014-06-26T08:00:00Z,495
2014-06-26T09:00:00Z,731
2014-06-26T10:00:00Z,626
2014-06-26T11:00:00Z,143
2014-06-26T12:00:00Z,135
2014-06-26T13:00:00Z,50
2014-06-26T14:00:00Z,344
2014-06-26T15:00:00Z,438
2014-06-26T16:00:00Z,166
2014-06-26T17:00:00Z,20
2014-06-26T18:00:00Z,191
2014-06-26T19:00:00Z,14
2014-06-26T20:00:00Z,0
2014-06-26T21:00:00Z,0
2014-06-26T22:00:00Z,0
2014-06-26T23:00:00Z,0
2014-06-27T00:00:00Z,0
2014-06-27T01:00:00Z,NA
2014-06-27T02:00:00Z,0
2014-06-27T03:00:00Z,0
2014-06-27T04:00:00Z,0
2014-06-27T05:00:00Z,19
2014-06-27T06:00:00Z,69
2014-06-27T07:00:00Z,473
2014-06-27T08:00:00Z,697
2014-06-27T09:00:00Z,1023
2014-06-27T10:00:00Z,1123
2014-06-27T11:00:00Z,1154
2014-06-27T12:00:00Z,NA
2014-06-27T13:00:00Z,891
2014-06-27T14:00:00Z,933
2014-06-27T15:00:00Z,811
2014-06-27T16:00:00Z,549
2014-06-27T17:00:00Z,380
2014-06-27T18:00:00Z,NA
2014-06-27T19:00:00Z,8
2014-06-27T20:00:00Z,NA
2014-06-27T21:00:00Z,0
2014-06-27T22:00:00Z,0
2014-06-27T23:00:00Z,0
2014-06-28T00:00:00Z,0
